RIO;COORD- X;COORD- Y;PUNTO;FECHA;Temperatura;Ph;Oxigeno disuelto;Solidos_Totales;Nitratos;Fosfatos;Turbiedad;DBO5;Coliformes fecales;CALIDAD AGUA NSF;Clasificacion 
RIO ZAMORA;780.396;9.626.317;P2;7/1/2018 0:00;19,5;6,6;7;100;3,9;0,89;0,39;11;2356;48,3;Malo
RIO BLANCO;816.042;9.740.147;P3;7/1/2018 0:00;20,1;7,1;8,5;95;4,6;0,01;0,56;14;500;60,97;Regular 
RIO BLANCO;814.777;9.741.508;P4;7/1/2018 0:00;20,8;6,9;6,1;83;5,6;0,65;4;12;2476;46,37;Malo 
RIO ZAMORA;779.621;9.622.873;P1;13/1/2019 0:00;25;7,3;7,3;99;6,5;0,41;4,6;13;682;52,84;Regular 
RIO ZAMORA;780.396;9.626.317;P2;13/1/2019 0:00;24,8;6,5;8,8;47;4,9;0,79;5,2;14;739;50,1;Regular 
RIO BLANCO;816.042;9.740.147;P3;13/1/2019 0:00;19,9;8;6,5;76;5,1;0,99;3,7;15;1856;45,58;Malo 
RIO BLANCO;814.777;9.741.508;P4;13/1/2019 0:00;20,7;7,3;7,3;67;4,5;1,01;3,9;10;1784;50,29;Regular 
RIO ZAMORA;779.621;9.622.873;P1;19/1/2020 0:00;21;7,1;7,9;87;3,9;1;0,99;11;2500;50,02;Regular 
RIO ZAMORA;780.396;9.626.317;P2;19/1/2020 0:00;21,9;8;6;97;4,7;0,83;0,49;15;1838;46,18;Malo 
RIO BLANCO;816.042;9.740.147;P3;19/1/2020 0:00;25,4;6,8;7,5;106;5,9;0,99;6;14;1743;47,11;Malo 
RIO BLANCO;814.777;9.741.508;P4;19/1/2020 0:00;21,6;7,6;7,9;101;6,1;0,34;0,23;10;1500;53,86;Regular 
RIO ZAMORA;779.621;9.622.873;P1;23/1/2021 0:00;29,5;6,6;6,9;79;5,2;0,09;0,55;13;2194;54,74;Regular 
RIO ZAMORA;780.396;9.626.317;P2;23/1/2021 0:00;23,9;8;8,9;98;6;0,21;0,87;15;753;54,89;Regular 
RIO BLANCO;816.042;9.740.147;P3;23/1/2021 0:00;20;7,5;8;92;6,4;1;0,94;12;928;50,19;Regular 
RIO BLANCO;814.777;9.741.508;P4;23/1/2021 0:00;19,8;6,9;7,1;83;5;1,01;4;14;1873;46,86;Malo 
