RIO;COORD- X;COORD- Y;PUNTO;FECHA;Temperatura;Ph;Oxigeno disuelto;Solidos_Totales;Nitratos;Fosfatos;Turbiedad;DBO5;Coliformes fecales;CALIDAD AGUA NSF;Clasificacion 
Zamora;782166,90;9639567,80;P2;17/11/2020;23.7;6,9;9,3;87;0,12;0,08;1,8;10,5;85;73,7;Buena
Indanza;782166,90;9639567,80;P1;10/2/2021;19.6;7,3;9,42;81;0,11;0,02;0,78;11,7;75;73,53;Buena
Indanza;793761,00;9661721,00;P2;11/2/2021;19.6;6,9;9,14;71;0,24;0,08;0,78;10,8;54;73,06;Buena
Zamora;787583,80;9652267,10;P1;20/3/2021;19.6;6,9;9,24;81;0,34;0,07;0,95;10,9;97;73,69;Buena
Zamora;782166,90;9639567,80;P2;21/3/2021;20.6;7,6;9,14;91;0,44;0,6;0,4;11,1;76;64,92;Regular
Indanza;782166,90;9639567,80;P1;15/6/2021;20.6;7,5;9,14;111;0,54;0,25;0,89;12,22;75;68,6;Regular
Indanza;793761,00;9661721,00;P2;16/6/2021;21.6;7;9,24;122;0,64;0,04;0,9;9,32;54;76,72;Buena
Zamora;787583,80;9652267,10;P1;24/6/2021;21.6;6,9;9,37;112;0,74;0,03;1;8,72;97;73,46;Buena
Zamora;782166,90;9639567,80;P2;15/6/2021;22.6;7;9,34;112;0,84;0,02;1;9,15;98;73,31;Buena
Indanza;782166,90;9639567,80;P1;16/7/2021;21.6;6,9;9,43;82;0,84;0,1;1,4;10,15;76;71,09;Buena
Indanza;793761,00;9661721,00;P2;17/7/2021;22.6;6,9;9,13;96;0,16;0,21;1,3;11,25;65;70;Buena
Zamora;787583,80;9652267,10;P1;22/7/2021;22.6;7,3;9,24;96;0,96;0,04;1,2;10,75;54;72,86;Buena
Zamora;782166,90;9639567,80;P2;23/7/2021;19.6;7,4;9,14;106;0,18;0,02;1,2;11,25;68;74,94;Buena
Indanza;782166,90;9639567,80;P1;12/10/2021;19.6;7,1;9,04;116;0,48;0,01;1,4;12,5;45;72,67;Buena
Indanza;793761,00;9661721,00;P2;13/10/2021;19.6;6,8;9,02;118;0,28;0,12;0,77;11,81;78;72,15;Buena
Zamora;787583,80;9652267,10;P1;16/11/2021;21.6;6,7;9,14;98;0,29;0,22;0,93;10,5;45;69,54;Regular
Zamora;782166,90;9639567,80;P2;17/11/2021;21.6;6,8;9,34;87;0,12;0,02;1,5;10,5;78;73,49;Buena
Indanza;782166,90;9639567,80;P1;10/2/2022;21.5;7,6;9,16;85;0,13;0,05;0,76;11,45;54;73,42;Buena
Indanza;793761,00;9661721,00;P2;11/2/2022;19.5;6,9;9,12;5;0,25;0,01;0,79;10,22;45;75,08;Buena
Zamora;787583,80;9652267,10;P1;20/3/2022;19.5;6,9;9,23;85;0,36;0,02;0,98;10,91;67;61,24;Regular
Zamora;782166,90;9639567,80;P2;21/3/2022;20.5;7,9;9,12;97;0,47;0,3;0,7;11,34;87;67,98;Regular
Indanza;782166,90;9639567,80;P1;15/6/2022;20.4;7,9;9,19;112;0,58;0,24;0,89;12,29;45;67,84;Regular
Indanza;793761,00;9661721,00;P2;16/6/2022;21.4;7,6;9,27;123;0,67;0,04;0,93;9,31;76;75,49;Buena
Zamora;787583,80;9652267,10;P1;24/6/2022;21.4;6,3;9,37;140;0,76;0,01;1,1;8,78;45;71,78;Buena
Zamora;782166,90;9639567,80;P2;15/6/2022;22.4;7;9,37;127;0,83;0,02;1,3;9,11;79;75,16;Buena
Indanza;782166,90;9639567,80;P1;16/7/2022;21.4;6,9;9,47;87;0,92;0,34;1,7;10,12;80;66,44;Regular
Indanza;793761,00;9661721,00;P2;17/7/2022;22.4;6,8;9,14;90;0,34;0,23;1,5;11,22;90;68,87;Regular
Zamora;787583,80;9652267,10;P1;22/7/2022;22.4;7;9,24;93;0,93;0,02;1,3;10,74;78;72,19;Buena
Zamora;782166,90;9639567,80;P2;23/7/2022;19.4;7,4;9,14;102;0,13;0,06;1,1;11,21;79;73,54;Buena
Indanza;782166,90;9639567,80;P1;12/10/2022;19.4;7,1;9,01;110;0,4;0,03;1,2;12,24;69;72,41;Buena
Indanza;793761,00;9661721,00;P2;13/10/2022;19.4;6,9;9,07;115;0,2;0,13;0,77;11,84;59;71,43;Buena
Zamora;787583,80;9652267,10;P1;16/11/2022;21.4;6,9;9,17;99;0,23;0,23;0,99;10,64;69;70,66;Buena
Zamora;782166,90;9639567,80;P2;17/11/2022;21.4;7,1;9,37;87;0,13;0,03;1,2;10,54;80;74,46;Buena
Indanza;782166,90;9639567,80;P1;10/2/2023;19.8;7,6;9,65;56;0,19;0,03;0,78;11,8;45;73,26;Buena
Indanza;793761,00;9661721,00;P2;11/2/2023;20.8;7;9,19;76;0,22;0,06;0,88;10,2;22;75,38;Buena
Zamora;787583,80;9652267,10;P1;20/3/2023;20.8;7,2;9,27;83;0,33;0,07;0,99;10,9;33;76,24;Buena
Zamora;782166,90;9639567,80;P2;21/3/2023;23.8;7,1;9,11;92;0,41;0,4;0,7;11,34;36;68,35;Regular
RIO LUSHIN;828.578;9.816.214;P1;6/1/2018;19,16;6,9;7,8;47,35;0,98;0,03;0,86;11,06;39;45,83;MALA
RIO LUSHIN;828.578;9.816.214;P1;15/5/2018;19,17;6,9;8,62;47,36;0,98;0,4;0,85;11,23;39;46,64;MALA
RIO LUSHIN;828.578;9.816.214;P1;25/9/2018;19,26;6,9;8,62;47,37;0,78;0,47;0,8;11,45;40;46,74;MALA
RIO LUSHIN;828.578;9.816.214;P1;13/2/2019;20,83;7,12;8,34;47,38;0,81;0,56;0,83;11,56;43;46,82;MALA
RIO LUSHIN;828.578;9.816.214;P1;21/7/2019;19,53;7,13;8,35;47,39;0,86;0,86;0,91;11,76;46;46,51;MALA
RIO LUSHIN;828.578;9.816.214;P1;7/12/2019;19,7;7,21;8,62;47,4;0,94;0,35;0,91;11,98;48;46,46;MALA
RIO LUSHIN;828.578;9.816.214;P1;11/1/2020;20,26;7,32;7,93;48,09;0,97;0,96;0,97;12,02;51;46,81;MALA
RIO LUSHIN;828.578;9.816.214;P1;12/6/2020;20,63;7,23;7,82;47,98;0,99;0,63;0,98;12,83;54;45,31;MALA
RIO LUSHIN;828.578;9.816.214;P1;13/12/2020;19,98;7,34;7,83;48,48;0,83;0,67;0,92;12,56;56;45,56;MALA
RIO LUSHIN;828.578;9.816.214;P1;18/1/2021;19,26;7,42;8,41;49,72;0,91;0,98;0,83;12,83;57;45,66;MALA
RIO LUSHIN;828.578;9.816.214;P1;2/6/2021;20,63;7,5;9,62;50,82;0,93;0,59;0,98;12,56;61;45,74;MALA
RIO LUSHIN;828.578;9.816.214;P1;10/12/2021;19,36;7,23;8,62;50,38;1,12;0,59;1,23;12,96;63;45,2;MALA
RIO LUSHIN;828.578;9.816.214;P1;19/1/2022;19,63;7,43;9,97;51,83;1,07;0,78;1,23;12,84;65;45,21;MALA
RIO LUSHIN;828.578;9.816.214;P1;14/6/2022;19,36;7,34;8,92;51,64;1,23;0,46;1,03;12,82;66;45,19;MALA
RIO LUSHIN;828.578;9.816.214;P1;8/12/2022;20,65;7,54;9,21;51,93;1,78;0,59;1,39;12,65;70;44,43;MALA
RIO LUSHIN;828.578;9.816.214;P1;12/5/2023;21,03;7,34;9,76;51,98;1..87;0,73;1,95;12,91;72;43,84;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;9/1/2018;19.83;6,9;7,74;50,7;0,63;0,73;1,83;11,93;74;45,12;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;18/6/2018;18,72;6,93;7,45;47,74;0,82;0,73;0,73;11,83;76;44,54;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;1/12/2018;19.5;6,72;7,93;46,92;0,93;0,83;0,83;11,83;78;44,67;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;22/1/2019;19.83;6,83;8,94;46,4;0,92;0,83;0,98;11,89;80;45,25;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;3/6/2019;18.93;7,1;8,83;46,92;0,82;0,73;0,92;11,83;81;45,73;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;2/12/2019;19.9;7,2;8,72;45,82;0,83;0,78;0,96;11,83;82;45,58;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;8/1/2020;18.9;7,3;8,63;48,8;0,98;0,82;0,98;12,94;84;44,94;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;19/6/2020;19.3;7,2;8,84;50,4;0,97;0,73;0,83;12,84;85;45,05;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;9/12/2020;19.93;7,2;8,388;51;0,83;0,63;0,93;11,93;86;45,51;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;25/1/2021;20,4;6,9;8,43;48;0,87;0,873;1,56;12.765;88;44,21;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;26/6/2021;21.4;6,87;8,43;52,5;0,86;0,98;1,54;11,5;89;45,33;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;27/12/2021;20,4;7,3;8,53;53,4;0,84;0,83;1,39;12,58;90;45,21;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;28/1/2022;19.4;7,3;8,48;53,92;0,894;0,84;1,02;12,4;91;45,13;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;29/6/2022;19.83;6,8;8,3;52,3;0,95;0,97;1,93;11,93;93;44,65;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;30/12/2022;20,4;7,2;8,17;53,92;0,93;0,93;1,93;12,84;94;44,73;MALA
RIO LUSHIN;826.223,80;9.815.861;P2;7/5/2023;21.83;7,2;8,92;54,92;1,03;0,08;1,35;12,87;94;44,74;MALA
RIO  SANGAY ;828.665;9795151,4;P1;6/1/2018;19,7;6,9;6,98;47,35;2,98;0,03;0,89;11,06;189;40,82;MALA
RIO  SANGAY ;828.665;9795151,4;P1;15/5/2018;20,6;6,9;6,74;47,36;2,99;0,4;0,89;11,23;203;40,48;MALA
RIO  SANGAY ;828.665;9795151,4;P1;23/10/2018;19,6;6,9;7,54;48,8;3,23;0,47;0,99;11,45;214;40,89;MALA
RIO  SANGAY ;828.665;9795151,4;P1;13/2/2019;21,83;7,12;7,93;50,53;3,45;0,56;1,63;11,56;234;41,38;MALA
RIO  SANGAY ;828.665;9795151,4;P1;21/7/2019;19,53;7,13;8,35;51,2;3,56;0,86;1,85;11,76;235;41,19;MALA
RIO  SANGAY ;828.665;9795151,4;P1;7/12/2019;19,9;7,21;8,62;51,3;3,57;0,35;1,91;11,98;257;41,11;MALA
RIO  SANGAY ;828.665;9795151,4;P1;11/1/2020;20,26;7,32;7,93;51,45;3,76;0,96;1,83;12,02;300;40,47;MALA
RIO  SANGAY ;828.665;9795151,4;P1;12/6/2020;20,63;7,23;7,82;52,78;3,78;0,63;1,89;12,83;501;39,21;MALA
RIO  SANGAY ;828.665;9795151,4;P1;13/12/2020;19,98;7,34;7,83;53,7;3,99;0,67;1,99;12,56;526;39,08;MALA
RIO  SANGAY ;828.665;9795151,4;P1;18/1/2021;19,97;7,42;8,41;54,7;3,94;0,98;2,01;12,83;589;39,14;MALA
RIO  SANGAY ;828.665;9795151,4;P1;2/6/2021;20,63;7,5;8,9;54,87;3,98;0,59;2,12;12,56;691;39,14;MALA
RIO  SANGAY ;828.665;9795151,4;P1;3/12/2021;19,76;7,23;8,62;55,1;4;0,59;2,56;12,96;752;38,61;MALA
RIO  SANGAY ;828.665;9795151,4;P1;19/1/2022;19,63;7,43;7,89;55,6;4,67;0,78;2,84;12,84;798;37,88;MALA
RIO  SANGAY ;828.665;9795151,4;P1;14/6/2022;19,54;7,34;8,23;57,1;4,87;0,46;3,4;12,87;892;37,71;MALA
RIO  SANGAY ;828.665;9795151,4;P1;8/12/2022;20,65;7,54;8,54;57,2;4,9;0,59;3,56;12,65;982;37,79;MALA
RIO  SANGAY ;828.665;9795151,4;P1;12/5/2023;21,03;7,34;8,99;61,58;5,8;0,73;3,62;12,91;985;37,18;MALA
RIO  SANGAY ;169.632;9.794.158;P2;9/1/2018;19,7;6,9;7,74;45,86;2,46;0,73;4,72;11,93;502;39,59;MALA
RIO  SANGAY ;169.632;9.794.158;P2;18/6/2018;19,98;6,9;7,45;47,74;2,75;0,73;2,93;11,87;534;39,22;MALA
RIO  SANGAY ;169.632;9.794.158;P2;1/12/2018;21,4;6,9;7,93;46,92;2,85;0,83;2,87;11,83;598;39,51;MALA
RIO  SANGAY ;169.632;9.794.158;P2;22/1/2019;20,83;7,12;8,94;46,4;2,36;0,83;2,98;11,89;603;40,21;MALA
RIO  SANGAY ;169.632;9.794.158;P2;3/6/2019;19,53;7,13;8,83;46,92;2,78;0,73;2,56;11,46;616;40,13;MALA
RIO  SANGAY ;169.632;9.794.158;P2;2/12/2019;21,7;7,21;8,72;45,82;2,99;0,78;2,99;11,83;698;39,72;MALA
RIO  SANGAY ;169.632;9.794.158;P2;8/1/2020;20,26;7,32;8,63;48,8;3,2;0,82;3,01;12,94;703;39,12;MALA
RIO  SANGAY ;169.632;9.794.158;P2;19/6/2020;20,63;7,23;8,84;50,4;3,4;0,73;3,9;12,84;726;39,03;MALA
RIO  SANGAY ;169.632;9.794.158;P2;9/12/2020;19,98;7,34;8,38;51;3,6;0,63;3,71;11,93;789;39;MALA
RIO  SANGAY ;169.632;9.794.158;P2;25/1/2021;19,98;7,42;8,43;48;3,85;0,873;3,89;12.765;801;38,56;MALA
RIO  SANGAY ;169.632;9.794.158;P2;26/6/2021;20,63;7,5;8,5;52,5;4,65;0,98;3,99;11,5;835;38,7;MALA
RIO  SANGAY ;169.632;9.794.158;P2;2/12/2021;19,52;7,23;8,53;53,4;4,23;0,83;4,12;12,58;876;38,24;MALA
RIO  SANGAY ;169.632;9.794.158;P2;28/1/2022;21,78;7,43;8,48;53,92;4,67;0,84;4,19;12,4;899;38,18;MALA
RIO  SANGAY ;169.632;9.794.158;P2;29/6/2022;21,9;7,34;8,3;52,3;3,76;0,97;4,89;12,3;902;38,59;MALA
RIO  SANGAY ;169.632;9.794.158;P2;3/12/2022;22,87;7,8;8,17;53,92;4,64;0,93;4,99;12,84;923;37,68;MALA
RIO  SANGAY ;169.632;9.794.158;P2;7/5/2023;22,79;7,9;8,92;54,92;5,12;0,99;5,1;13,94;945;36,86;MALA
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;7/1/2018;18,3;7,2;8,16;54,12;3,7;0,14;2,2;11,7;500;61,67;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;11/5/2018;20,7;7,6;8;53,45;4,2;0,16;2,6;11;512;60,46;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;20/10/2018;22,3;7,4;9,42;54,06;5,1;0,12;1,8;11,6;620; 59,70 ;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;15/2/2019;19,6;7,7;9,6;54,12;4,8;0,8;0,4;10,7;589;54,09;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;21/7/2019;21,5;6,5;9,37;53,85;6,2;0,17;1,7;10,4;547;57,45;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;9/12/2019;17,8;6,9;8,25;54,12;5,9;0,11;1,6;10,6;632;59,76;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;12/1/2020;20,7;6,2;8,4;53,65;3,9;0,17;1,5;10,8;654;58,32;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;12/6/2020;19,3;7,5;9,13;53,69;4,8;0,23;1,4;11,5;687;58,58;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;13/12/2020;19,6;6,5;9,2;83;4,5;0,07;1,4;10,8;620;60,08;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;13/1/2021;21,1;7,2;8,6;81;6,1;0,03;1,9;11,5;630;60,37;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;2/6/2021;20,2;6,3;9,1;65;5,3;0,07;2;11,3;641;58,3;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;1/12/2021;20,3;6,9;9,6;79;4,6;0,08;1,2;11,9;520;60,56;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;17/1/2022;20,7;7,1;9,9;72;3,8;0,01;1,1;11,4;725;61,59;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;11/6/2022;19,7;7,2;9,4;80;3,5;0,09;1,5;12;735;60,86;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;8/12/2022;20,98;7,5;10,1;132;5,2;0,3;1,69;17;741;52,26;regular
río Tuna Chiguaza; 172.874,10 ; 9.793.138,50 ;P1;8/5/2023;20,34;6,8;11,35;148;6,3;0,22;2,02;11;752;54,39;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;7/1/2018;20,61;7,2;9,67;124;5,7;0,18;2,47;12;753;57,11;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;11/5/2018;21,9;6,8;8,9;78;5,2;0,06;1,8;10,2;741;60,37;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;20/10/2018;20,9;6,1;9,5;79;4,7;0,8;1,7;11,3;789;50,28;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;15/2/2019;21,6;6,6;9,6;73;3,7;0,06;1,6;11,7;761;59,51;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;21/7/2019;20,4;6,1;9,9;80;5,6;0,7;1;10,6;741;50,46;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;9/12/2019;20,9;6,4;9,6;83;3,6;0,09;1,9;10,9;825;58,98;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;12/1/2020;20;6,5;8,6;68;4,2;0,6;1,9;10,8;841;53,53;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;12/6/2020;21,6;6,4;9,04;70;5,1;0,09;1,2;11,9;863;57,34;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;13/12/2020;21;6,7;9,6;69;3,7;0,8;1;11,7;879;52,22;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;13/1/2021;20;7;9,6;79;4,9;0,8;1,5;10,4;814;53,15;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;2/6/2021;25,6;7,9;9,8;80;5,3;0,09;1,6;10,3;836;58,66;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;1/12/2021;20,4;6,8;8,4;84;4,5;0,06;1,8;9,9;974;60,78;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;17/1/2022;21,9;7,2;9,3;72;3,5;0,07;1,1;10,3;526; 63,10 ;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;11/6/2022;21,6;6,2;8,6;69;5,2;0,02;1,9;11,3;524;59,29;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;8/12/2022;20,5;6,4;9,1;72;6,3;0,09;2;10,8;745; 57,30 ;regular
río Tuna Chiguaza; 832.737,60 ; 9.784.256,00 ;P2;8/5/2023;26,93;6,9;12;81;5,7;0,23;0,98;16;782;48,41;malo
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;9/1/2018;21,6;6,7;8,4;68;5,2;0,09;1;10,9;741; 60,90 ;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;23/5/2018;18,3;7,2;8,16;54,12;4,7;0,14;2,2;11,7;520;60,58;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;7/9/2018;21,73;7,4;13,07;91;3,7;0,29;1,41;14;560;50,98;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;9/1/2019;21,02;7,1;10,49;125;5,6;0,17;1,89;13;980;55,35;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;23/5/2019;20,01;7,3;11,54;103;3,6;0,32;2,18;16;942;51,86;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;7/9/2019;20,29;7;9,96;138;4,2;0,24;1,32;15;951;54,65;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;9/1/2020;20,79;7,5;12,45;107;4,5;0,2;2,05;11;963;52,35;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;23/5/2020;20,47;6,9;10,32;146;6,1;0,27;1,62;17;974; 50,80 ;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;7/9/2020;21,38;7,2;11,98;95;5,3;0,23;1,33;12;961;50,69;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;9/1/2021;20,92;7,4;9,54;128;4,6;0,31;2,37;14;987;53,79;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;23/5/2021;20,99;7,1;13,18;99;3,8;0,15;1,48;13;540;53,68;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;7/9/2021;20,79;7,3;10,88;144;5,1;0,26;1,78;15;589;54,08;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;9/1/2022;20,21;6,8;12,73;102;3,7;0,35;2,29;11;862;40,93;mala
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;23/5/2022;21,21;7,5;9,73;117;4,9;0,34;1,21;16;574;53,35;regular
río Palora ; 172.874,20 ; 9.793.055,50 ;P1;7/9/2022;20,64;7;11,22;93;5,3;0,31;2,16;17;620;51,38;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;9/1/2023;21,29;7,4;10,14;133;4,5;0,24;2,42;13;654;56,46;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;23/5/2018;20,47;6,9;10,32;146;3,5;1,01;1,62;17;689;48,96;mala
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;7/9/2018;21,38;7,2;11,98;95;5,2;0,23;1,33;12;632;51,76;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;9/1/2019;20,92;7,4;9,54;128;6,3;0,31;2,37;14;871;52,69;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;23/5/2019;20,99;7,1;13,18;99;5,7;0,15;1,48;13;845; 51,20 ;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;7/9/2019;20,79;7,3;10,88;144;5,2;0,26;1,78;15;865;53,06;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;9/1/2020;20,21;6,8;12,73;102;4,7;0,35;2,29;11;698;49,76;mala
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;23/5/2020;20,8;6,1;9,4;79;3,7;0,3;1,6;10,4;95;59,83;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;7/9/2020;21,8;6,7;9,9;89;5,6;0,06;1,5;10,6;2300;55,56;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;9/1/2021;19,6;6,5;9,2;83;4,2;0,7;1,4;10,8;2489;49,94;mala
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;23/5/2021;21,1;7,2;8,6;81;5,1;0,03;1,9;11,5;2458;56,95;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;7/9/2021;20,2;6,3;9,1;65;4,8;0,07;2;11,3;2478;54,93;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;9/1/2022;20,3;6,9;9,6;79;6,2;0,8;1,2;11,9;987;50,49;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;23/5/2022;21,6;6,5;8,3;85;5,9;0,83;1,3;10,3;961;51,03;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;7/9/2022;20,8;7;9,3;79;3,9;0,09;1,4;10,6;967;60,54;regular
río Palora ; 175.455,00 ; 9.792.491,10 ;P2;9/1/2023;20,5;7,6;8,6;80;5,8;0,09;1,7;11,8;2489;55,97;regular
RIO PASTAZA;170139,90;9816121,60;P1;10/1/2023;25;6,5;8,1;71;3,4;0,05;5,2;11,9;948;51,02;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;11/1/2018;20,5;7,6;8,4;70;5,5;0,06;0,29;11,6;1896;57,12;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;5/4/2018;20,2;7,9;8,4;60;4,6;0,05;4,6;10,9;1845;58,67;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;10/4/2018;20,4;6,8;7,3;100;5,4;0,08;3,4;13,4;945;56,08;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;4/8/2018;19,9;7;6,9;79;6,4;0,04;6;14,6;1000;54,41;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;8/8/2018;21,6;7,1;6,4;69;6,2;0,05;5,6;10;2048;54,96;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;2/12/2018;20;6,8;7,4;74;6,1;0,09;1,4;10,9;723;57,45;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;6/12/2018;20,9;6,9;6,6;69;6,3;0,03;1,3;11,5;658;57,53;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;9/2/2019;20,5;7;8,9;96;5,2;0,9;6;10,6;1000;52,36;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;10/2/2019;20,6;7,5;7,6;76;5,9;0,06;4,6;15;1878;54,10;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;5/6/2019;19,8;7;8,2;73;5,4;0,4;5,2;11,7;2245;51,54;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;8/6/2019;20,7;6,4;8,6;64;5,7;0,9;1,2;14;987;48,59;mala
RIO PASTAZA;170139,90;9816121,60;P1;1/10/2019;25;7,3;8,9;78;3,5;0,04;2,8;11,6;1000;60,95;Regular 
RIO PASTAZA;831735,40;9814369,40;P2;6/10/2019;19,5;7,5;7,6;73;3,7;0,08;3,5;10,7;1624;58,75;Regular 
RIO PASTAZA;170139,90;9816121,60;P1;9/1/2020;20,8;6,1;8;79;3,5;0,3;4,1;12,9;1635;51,56;Regular 
